Movie,movieRating,potentialUserId,potentialFactor
The Machinist,4,322009,2743.441216
I Heart Huckabees,4,322009,2743.441216
Barbershop 2: Back in Business,4,322009,2743.441216
Robin Williams: Live on Broadway,4,322009,2743.441216
My Big Fat Greek Wedding,4,322009,2743.441216
Elf,4,322009,2743.441216
The In-Laws,4,322009,2743.441216
Everybody Loves Raymond: The Series Finale,4,322009,2743.441216
Sideways,4,322009,2743.441216
Little House on the Prairie: There's No Place Like Home,4,322009,2743.441216
Wrong Turn,4,322009,2743.441216
Monsieur Ibrahim,4,322009,2743.441216
The Majestic,4,322009,2743.441216
The Merchant of Venice,4,322009,2743.441216
Nowhere in Africa,4,322009,2743.441216
Star Trek: Enterprise: Season 2,4,322009,2743.441216
Anchorman: The Legend of Ron Burgundy,4,322009,2743.441216
Wake Up Ron Burgundy,4,322009,2743.441216
A Lot Like Love,4,322009,2743.441216
The Hunted,4,322009,2743.441216
Intermission,4,322009,2743.441216
Poolhall Junkies,4,322009,2743.441216
National Treasure,4,322009,2743.441216
Bang Bang You're Dead,4,322009,2743.441216
The Man Show: Season 3,4,322009,2743.441216
Final Destination 2,4,322009,2743.441216
The Fog of War,4,322009,2743.441216
The Murder of Emmett Till: American Experience,4,322009,2743.441216
In America,4,322009,2743.441216
The Twilight Samurai,4,322009,2743.441216
Bad Santa,4,322009,2743.441216
The Cooler,4,322009,2743.441216
Led Zeppelin,4,322009,2743.441216
8 Mile,4,322009,2743.441216
The School of Rock,4,322009,2743.441216
Eye See You,4,322009,2743.441216
The Terminal,4,322009,2743.441216
Pieces of April,4,322009,2743.441216
It Was a Wonderful Life,4,322009,2743.441216
Batman Begins,4,322009,2743.441216
Enough,4,322009,2743.441216
Because of Winn-Dixie,4,322009,2743.441216
In Good Company,4,322009,2743.441216
Cold Mountain,4,322009,2743.441216
CSI: Season 2,4,322009,2743.441216
CSI: Miami: Season 1,4,322009,2743.441216
Sky Captain and the World of Tomorrow,4,322009,2743.441216
Tremors 4: The Legend Begins,4,322009,2743.441216
Duplex (Full-screen),4,322009,2743.441216
The Fight: American Experience,4,322009,2743.441216
The Barbarian Invasions,4,322009,2743.441216
Saturday Night Live: The Best of Christopher Walken,4,322009,2743.441216
Black Hawk Down,4,322009,2743.441216
Saving Silverman,4,322009,2743.441216
Love Don't Cost a Thing,4,322009,2743.441216
Dirty Pretty Things,4,322009,2743.441216
Shrek (Full-screen),4,322009,2743.441216
The Badge,4,322009,2743.441216
Tears of the Sun,4,322009,2743.441216
The Jacket,4,322009,2743.441216
Red Dragon,4,322009,2743.441216
Harold and Kumar Go to White Castle,4,322009,2743.441216
Confidence,4,322009,2743.441216
The Looney Tunes Golden Collection: Vol. 1,4,322009,2743.441216
Chappelle's Show: Season 2,4,322009,2743.441216
Little House on the Prairie: Journey in the Spring,4,322009,2743.441216
The Goodbye Girl,4,322009,2743.441216
Analyze That,4,322009,2743.441216
Dennis Miller: The Raw Feed,4,322009,2743.441216
Little House on the Prairie: The Pilot,4,322009,2743.441216
The Life of David Gale,4,322009,2743.441216
Six Feet Under: Season 3,4,322009,2743.441216
Surviving Christmas,4,322009,2743.441216
Bubba Ho-Tep,4,322009,2743.441216
The I Love Lucy 50th Anniversary Special,4,322009,2743.441216
The Man From Elysian Fields,4,322009,2743.441216
National Geographic: Beyond the Movie: The Lord of the Rings,4,322009,2743.441216
Matchstick Men,4,322009,2743.441216
Constantine,4,322009,2743.441216
Alfie,4,322009,2743.441216
Roger Dodger,4,322009,2743.441216
Undefeated,4,322009,2743.441216
Cowboy Up,4,322009,2743.441216
The Italian Job,4,322009,2743.441216
Cold Creek Manor,4,322009,2743.441216
Vampires: Los Muertos,4,322009,2743.441216
Crash,4,322009,2743.441216
Off the Map,4,322009,2743.441216
Monster Garage,4,322009,2743.441216
Bulletproof Monk,4,322009,2743.441216
American Chopper: Season 2,4,322009,2743.441216
Out of the Ashes,4,322009,2743.441216
Shanghai Knights,4,322009,2743.441216
Revelations,4,322009,2743.441216
Blue Collar Comedy Tour: The Movie,4,322009,2743.441216
Joshua,4,322009,2743.441216
Evolution,4,322009,2743.441216
Saints and Soldiers,4,322009,2743.441216
Never Again,4,322009,2743.441216
I Am Sam,4,322009,2743.441216
Kingdom of Heaven,4,322009,2743.441216
Donnie McClurkin Story: From Darkness to Light,4,322009,2743.441216
Stargate SG-1: Season 6,4,322009,2743.441216
About Schmidt,4,322009,2743.441216
Behind Enemy Lines,4,322009,2743.441216
The Shield: Season 1,4,322009,2743.441216
The King of Queens: Season 4,4,322009,2743.441216
Sexy Beast,4,322009,2743.441216
CSI: Miami: Season 2,4,322009,2743.441216
The Bourne Identity,4,322009,2743.441216
The Adventures of Pluto Nash,4,322009,2743.441216
Survivor: Season 2: The Australian Outback,4,322009,2743.441216
Ice Age,4,322009,2743.441216
Empire Falls,4,322009,2743.441216
The Salton Sea,4,322009,2743.441216
Baby Boy,4,322009,2743.441216
Step Into Liquid,4,322009,2743.441216
Hellboy,4,322009,2743.441216
Vanilla Sky,4,322009,2743.441216
The Weight of Water,4,322009,2743.441216
Veronica Guerin,4,322009,2743.441216
Frasier: The Final Season,4,322009,2743.441216
Nip/Tuck: Season 2,4,322009,2743.441216
High Crimes,4,322009,2743.441216
Fever Pitch,4,322009,2743.441216
Interstate 60,4,322009,2743.441216
Star Wars: Clone Wars: Vol. 1,4,322009,2743.441216
The Rundown,4,322009,2743.441216
Gangs of New York,4,322009,2743.441216
Ray,4,322009,2743.441216
K-Pax,4,322009,2743.441216
Friends: The Series Finale,4,322009,2743.441216
Big Trouble,4,322009,2743.441216
25th Hour,4,322009,2743.441216
Gothika,4,322009,2743.441216
Rush Hour 2,4,322009,2743.441216
Open Range,4,322009,2743.441216
Orange County,4,322009,2743.441216
Resident Evil,4,322009,2743.441216
Stargate SG-1: Season 7,4,322009,2743.441216
King Arthur,4,322009,2743.441216
The Recruit,4,322009,2743.441216
Changing Lanes,4,322009,2743.441216
Anger Management,4,322009,2743.441216
Empire,4,322009,2743.441216
CSI: Season 3,4,322009,2743.441216
Beyond Borders,4,322009,2743.441216
Kill Bill: Vol. 2,4,322009,2743.441216
Wonderland,4,322009,2743.441216
Little Black Book,4,322009,2743.441216
Brian's Song,4,322009,2743.441216
Bringing Down the House,4,322009,2743.441216
Without a Paddle,4,322009,2743.441216
The Butterfly Effect: Director's Cut,4,322009,2743.441216
Scrubs: Season 1,4,322009,2743.441216
Southern Comfort,4,322009,2743.441216
Friday After Next,4,322009,2743.441216
Dawn of the Dead,4,322009,2743.441216
Scary Movie 2,4,322009,2743.441216
Star Trek: Enterprise: Season 3,4,322009,2743.441216
Sex and the City: Season 5,4,322009,2743.441216
The Bourne Supremacy,4,322009,2743.441216
50 First Dates,4,322009,2743.441216
We Were Soldiers,4,322009,2743.441216
Dreamcatcher,4,322009,2743.441216
George Lopez: Why You Crying?,4,322009,2743.441216
Identity,4,322009,2743.441216
Hart's War,4,322009,2743.441216
Spartan,4,322009,2743.441216
From Hell,4,322009,2743.441216
Mr. Deeds,4,322009,2743.441216
40 Days and 40 Nights,4,322009,2743.441216
The Matrix: Reloaded,4,322009,2743.441216
Buffy the Vampire Slayer: Season 6,4,322009,2743.441216
The Last Castle,4,322009,2743.441216
Door to Door,4,322009,2743.441216
Sister Helen,4,322009,2743.441216
Billabong Odyssey,4,322009,2743.441216
The Pianist,4,322009,2743.441216
Jeepers Creepers,4,322009,2743.441216
Pink Floyd: The Dark Side of the Moon,4,322009,2743.441216
One Way Out,4,322009,2743.441216
Panic Room,4,322009,2743.441216
House of Sand and Fog,4,322009,2743.441216
The Texas Chainsaw Massacre,4,322009,2743.441216
Die Another Day,4,322009,2743.441216
E.T. the Extra-Terrestrial: The 20th Anniversary (Rerelease),4,322009,2743.441216
The Original Latin Kings of Comedy,4,322009,2743.441216
Jersey Girl,4,322009,2743.441216
Shall We Dance?,4,322009,2743.441216
Six Feet Under: Season 2,4,322009,2743.441216
Lord of the Rings: The Two Towers: Extended Edition,4,322009,2743.441216
Daddy Day Care,4,322009,2743.441216
The Corporation,4,322009,2743.441216
Solaris,4,322009,2743.441216
Raising Helen,4,322009,2743.441216
Little House on the Prairie: As Long as We Are Together,4,322009,2743.441216
Underworld,4,322009,2743.441216
Lara Croft: Tomb Raider: The Cradle of Life,4,322009,2743.441216
Jurassic Park III,4,322009,2743.441216
Frailty,4,322009,2743.441216
Normal,4,322009,2743.441216
Coach Carter,4,322009,2743.441216
In Enemy Hands,4,322009,2743.441216
Enemy at the Gates,4,322009,2743.441216
Thirteen,4,322009,2743.441216
The Gospel of John,4,322009,2743.441216
Pirates of the Caribbean: The Curse of the Black Pearl,4,322009,2743.441216
Hannibal,4,322009,2743.441216
Sex and Lucia,4,322009,2743.441216
Friends: Season 9,4,322009,2743.441216
Saved!,4,322009,2743.441216
Hitch,4,322009,2743.441216
The Lion in Winter,4,322009,2743.441216
Hearts in Atlantis,4,322009,2743.441216
Faith Hill: When the Lights Go Down,4,322009,2743.441216
Guess Who,4,322009,2743.441216
Star Trek: Nemesis,4,322009,2743.441216
Paycheck,4,322009,2743.441216
Richard Pryor: I Ain't Dead Yet #*%$#@!! Uncensored,4,322009,2743.441216
Spanglish,4,322009,2743.441216
Barbershop,4,322009,2743.441216
Hero,4,322009,2743.441216
House of Flying Daggers,4,322009,2743.441216
The Shield: Season 2,4,322009,2743.441216
Lockdown,4,322009,2743.441216
Minority Report,4,322009,2743.441216
Sex and the City: Season 6: Part 1,4,322009,2743.441216
The Order,4,322009,2743.441216
Bloody Sunday,4,322009,2743.441216
S.W.A.T.,4,322009,2743.441216
A Mighty Wind,4,322009,2743.441216
Fifteen Minutes,4,322009,2743.441216
Domestic Disturbance,4,322009,2743.441216
The Queen of the Damned,4,322009,2743.441216
61*,4,322009,2743.441216
Eternal Sunshine of the Spotless Mind,4,322009,2743.441216
The Sopranos: Season 5,4,322009,2743.441216
Super Size Me,4,322009,2743.441216
Control,4,322009,2743.441216
The Station Agent,4,322009,2743.441216
The Chronicles of Riddick,4,322009,2743.441216
The Missing,4,322009,2743.441216
The Glass House,4,322009,2743.441216
Before Sunset,4,322009,2743.441216
All About the Benjamins,4,322009,2743.441216
American Wedding,4,322009,2743.441216
National Security,4,322009,2743.441216
Kill Bill: Vol. 1,4,322009,2743.441216
Kung Fu Hustle,4,322009,2743.441216
Along Came Polly,4,322009,2743.441216
Reign of Fire,4,322009,2743.441216
Garden State,4,322009,2743.441216
Foolproof,4,322009,2743.441216
Crime Spree,4,322009,2743.441216
The Count of Monte Cristo,4,322009,2743.441216
Made,4,322009,2743.441216
Collateral Damage,4,322009,2743.441216
Riding Giants,4,322009,2743.441216
Sex and the City: Season 6: Part 2,4,322009,2743.441216
The Office: Series 2,4,322009,2743.441216
Holes,4,322009,2743.441216
The Junction Boys,4,322009,2743.441216
Blood Work,4,322009,2743.441216
Signs,4,322009,2743.441216
Joy Ride,4,322009,2743.441216
Bad Company,4,322009,2743.441216
Hostage,4,322009,2743.441216
The Sum of All Fears,4,322009,2743.441216
Something the Lord Made,4,322009,2743.441216
Bruce Almighty,4,322009,2743.441216
Heist,4,322009,2743.441216
American Pie 2,4,322009,2743.441216
Shallow Hal,4,322009,2743.441216
Open Water,4,322009,2743.441216
Starsky & Hutch,4,322009,2743.441216
Kiss of the Dragon,4,322009,2743.441216
Hotel Rwanda,4,322009,2743.441216
The Matrix: Revolutions,4,322009,2743.441216
Monster's Ball,4,322009,2743.441216
Terminator 3: Rise of the Machines,4,322009,2743.441216
Chappelle's Show: Season 1,4,322009,2743.441216
The Sopranos: Season 4,4,322009,2743.441216
Miracle,4,322009,2743.441216
Swordfish,4,322009,2743.441216
Mystic River,4,322009,2743.441216
Six Feet Under: Season 4,4,322009,2743.441216
Austin Powers in Goldmember,5,322009,2743.441216
Blade 2,5,322009,2743.441216
The Lord of the Rings: The Fellowship of the Ring: Extended Edition,5,322009,2743.441216
Fahrenheit 9/11,5,322009,2743.441216
The Score,5,322009,2743.441216
Monsters Inc.,5,322009,2743.441216
Blow,5,322009,2743.441216
The Last Samurai,5,322009,2743.441216
Lord of the Rings: The Two Towers,5,322009,2743.441216
Training Day,5,322009,2743.441216
Man on Fire,5,322009,2743.441216
ABC Primetime: Mel Gibson's The Passion of the Christ,5,322009,2743.441216
Million Dollar Baby,5,322009,2743.441216
Bowling for Columbine,5,322009,2743.441216
Harry Potter and the Sorcerer's Stone,5,322009,2743.441216
Harry Potter and the Chamber of Secrets,5,322009,2743.441216
Lord of the Rings: The Return of the King: Extended Edition,5,322009,2743.441216
Secondhand Lions,5,322009,2743.441216
Love Actually,5,322009,2743.441216
Bad Boys II,5,322009,2743.441216
3000 Miles to Graceland,5,322009,2743.441216
Basic,5,322009,2743.441216
Life as a House,5,322009,2743.441216
In the Bedroom,5,322009,2743.441216
Star Wars Trilogy: Bonus Material,5,322009,2743.441216
Lord of the Rings: The Return of the King,5,322009,2743.441216
The Transporter,5,322009,2743.441216
The Passion of the Christ,5,322009,2743.441216
Lord of the Rings: The Fellowship of the Ring,5,322009,2743.441216
Doctor Zhivago,5,322009,2743.441216
Something's Gotta Give,5,322009,2743.441216
Churchill,4,305344,3165.810233
Original Sin,4,305344,3165.810233
The I Love Lucy 50th Anniversary Special,4,305344,3165.810233
Electric Light Orchestra: Zoom Tour Live,4,305344,3165.810233
The American President,4,305344,3165.810233
The Beatles: Love Me Do,4,305344,3165.810233
Alanis Morissette: Feast on Scraps,4,305344,3165.810233
Road to Perdition,4,305344,3165.810233
Brown Sugar,4,305344,3165.810233
Air Marshal,4,305344,3165.810233
Hyperspace,4,305344,3165.810233
Discovering Italy,4,305344,3165.810233
Tears of the Sun,4,305344,3165.810233
The Crocodile Hunter: Collision Course,4,305344,3165.810233
See Spot Run,4,305344,3165.810233
The Wizard of Oz: Rescue of the Emerald City,4,305344,3165.810233
Second String,4,305344,3165.810233
MTV Video Music Awards Collection: Hip Pop,4,305344,3165.810233
Narc,4,305344,3165.810233
Air Bud Spikes Back,4,305344,3165.810233
Shallow Hal,4,305344,3165.810233
The Four Feathers,4,305344,3165.810233
Dancing to New Orleans,4,305344,3165.810233
The Score,4,305344,3165.810233
History of Rock 'N' Roll,4,305344,3165.810233
Hellraiser VI: Hellseeker,4,305344,3165.810233
A Man Apart,4,305344,3165.810233
The Center of the World,4,305344,3165.810233
Yes: Symphonic Live,4,305344,3165.810233
Two Weeks Notice,4,305344,3165.810233
My Big Fat Greek Wedding,4,305344,3165.810233
Ocean's Eleven,4,305344,3165.810233
Bruce Springsteen and The E Street Band: Live in Barcelona,4,305344,3165.810233
Dave Matthews Band: The Gorge,4,305344,3165.810233
The Real World: Las Vegas,4,305344,3165.810233
Bear in the Big Blue House: Tidy Time with Bear,4,305344,3165.810233
Barry Manilow: Ultimate Manilow!,4,305344,3165.810233
Hidden Wars of Desert Storm,4,305344,3165.810233
NBA Ultimate Jordan: 20th Anniversary Collector's Edition,4,305344,3165.810233
The Go-Go's: Live in Central Park,4,305344,3165.810233
Fidel: The Castro Project,4,305344,3165.810233
Planet of the Apes,4,305344,3165.810233
Melissa Etheridge: Live ... and Alone,4,305344,3165.810233
The Sopranos: Season 3,4,305344,3165.810233
The History Channel Presents: The Alamo,4,305344,3165.810233
Crosby Stills & Nash: The Acoustic Concert,4,305344,3165.810233
The Nightmare Room: Scareful What You Wish For,4,305344,3165.810233
City by the Sea,4,305344,3165.810233
Daria: The Movie: Is it Fall Yet?,4,305344,3165.810233
The Sopranos: Season 4,4,305344,3165.810233
Men in Black II,4,305344,3165.810233
Blood Work,4,305344,3165.810233
Alabama: Greatest Video Hits,4,305344,3165.810233
Michael McDonald: A Gathering of Friends,4,305344,3165.810233
Darrin's Dance Grooves,4,305344,3165.810233
Simone,4,305344,3165.810233
Sex and the City: Season 4,4,305344,3165.810233
Janet: Live in Hawaii,4,305344,3165.810233
Last Run,4,305344,3165.810233
Helter Skelter: Director's Cut,4,305344,3165.810233
Major League Baseball: Memorable Moments,4,305344,3165.810233
The Hunchback of Notre Dame II,4,305344,3165.810233
Pyaar Ishq aur Mohabbat,4,305344,3165.810233
Spider-Man: The New Animated Series: Season 1,4,305344,3165.810233
Tadpole,4,305344,3165.810233
Men in Black II: Bonus Material,4,305344,3165.810233
Mulholland Drive,4,305344,3165.810233
Fifteen Minutes,4,305344,3165.810233
Gangs of New York,4,305344,3165.810233
Richard Rodgers: The Sweetest Sounds,4,305344,3165.810233
Modern Warriors: The Martial Way,4,305344,3165.810233
Trapped,4,305344,3165.810233
Focus,4,305344,3165.810233
2003 World Series,4,305344,3165.810233
Last Orders,4,305344,3165.810233
Die Another Day: Bonus Material,4,305344,3165.810233
Pink Floyd: Inside Pink Floyd: A Critical Review 1975-1996,4,305344,3165.810233
Con Express,4,305344,3165.810233
Fosse,4,305344,3165.810233
Poirot: Murder in Mesopotamia,4,305344,3165.810233
The Unsaid,4,305344,3165.810233
National Geographic: Inside the U.S. Secret Service,4,305344,3165.810233
Chicago: A&E Live by Request,4,305344,3165.810233
Air Jaws 1 and 2: Sharks of South Africa,4,305344,3165.810233
Doobie Brothers: Rockin' Down the Highway: The Wildlife Concert,4,305344,3165.810233
Dragonfly,4,305344,3165.810233
Rollerball,4,305344,3165.810233
Sweet Home Alabama,4,305344,3165.810233
True Blue,4,305344,3165.810233
A.I. Artificial Intelligence,4,305344,3165.810233
CIA: Shocking Stories Behind the Headlines,4,305344,3165.810233
Hearts in Atlantis,4,305344,3165.810233
Moby: Play,4,305344,3165.810233
Faith Hill: When the Lights Go Down,4,305344,3165.810233
Dean Martin: That's Amore,4,305344,3165.810233
Pendulum,4,305344,3165.810233
Carl Perkins and Friends,4,305344,3165.810233
Sopranos Unauthorized: Shooting Sites Uncovered,4,305344,3165.810233
The Blue Planet: Seas of Life: Tidal Seas - Coasts,4,305344,3165.810233
Liberty Stands Still,4,305344,3165.810233
Lord of the Rings: The Return of the King,4,305344,3165.810233
Windtalkers,4,305344,3165.810233
String Cheese Incident: Live at the Fillmore,4,305344,3165.810233
Echo and the Bunnymen: Live in Liverpool,4,305344,3165.810233
A Beautiful Mind: Bonus Material,4,305344,3165.810233
Shania Twain: The Platinum Collection,4,305344,3165.810233
The Gospel of John,4,305344,3165.810233
2002 Olympic Figure Skating Exhibition,4,305344,3165.810233
Gloria Estefan: Live and Unwrapped,4,305344,3165.810233
Animal Attraction 3,4,305344,3165.810233
The Gathering Storm,4,305344,3165.810233
Master Spy: The Robert Hanssen Story,4,305344,3165.810233
National Geographic: Everest: 50 Years on the Mountain,4,305344,3165.810233
The Barber,4,305344,3165.810233
National Geographic: 21 Days to Baghdad,4,305344,3165.810233
Stuart Little 2,4,305344,3165.810233
A Beautiful Mind,4,305344,3165.810233
The Last Samurai,4,305344,3165.810233
New England Patriots: NFL Super Bowl XXXVIII Champions,4,305344,3165.810233
The Miles Davis Story,4,305344,3165.810233
Carmen: A Hip Hopera,4,305344,3165.810233
Apollo 11: Men on the Moon,4,305344,3165.810233
Discovering Australia,4,305344,3165.810233
Jersey Girl,4,305344,3165.810233
American Legends,4,305344,3165.810233
Catch Me If You Can,4,305344,3165.810233
Don't Say a Word,4,305344,3165.810233
Deftones: Live in Hawaii,4,305344,3165.810233
The Country Bears,4,305344,3165.810233
The Man Who Wasn't There,4,305344,3165.810233
Yosemite: The World's Most Spectacular Valley,4,305344,3165.810233
Panic Room,4,305344,3165.810233
Gene Kelly: Anatomy of a Dancer,4,305344,3165.810233
Randy Travis Live: It Was Just a Matter of Time,4,305344,3165.810233
Die Another Day,4,305344,3165.810233
MTV Yoga,4,305344,3165.810233
New York Firefighters: The Brotherhood of 9/11,4,305344,3165.810233
Ronald Reagan: A Legacy Remembered,4,305344,3165.810233
Fly Jefferson Airplane,4,305344,3165.810233
The Clinton Years,4,305344,3165.810233
Blue Crush,4,305344,3165.810233
The Nazi Officer's Wife,4,305344,3165.810233
The Pianist,4,305344,3165.810233
Led Zeppelin: Inside Led Zeppelin 1968-1972,4,305344,3165.810233
Sleepless,4,305344,3165.810233
S.W.A.T.: L.A. Las Vegas and Detroit,4,305344,3165.810233
Michael Moore's The Awful Truth: Season 2,4,305344,3165.810233
Showtime,4,305344,3165.810233
The Last Castle,4,305344,3165.810233
Enigma,4,305344,3165.810233
The Goo Goo Dolls: Live in Alaska: Music in High Places,4,305344,3165.810233
Hart's War,4,305344,3165.810233
The Rookie,4,305344,3165.810233
The Statement,4,305344,3165.810233
Pokemon 3: The Movie,4,305344,3165.810233
The Matrix: Reloaded: Bonus Material,4,305344,3165.810233
Heist,4,305344,3165.810233
Bear in the Big Blue House: Everybody's Special,4,305344,3165.810233
MTV: The Real World: Decade of Bloopers,4,305344,3165.810233
Muddy Waters Can't Be Satisfied,4,305344,3165.810233
The Count of Monte Cristo,4,305344,3165.810233
7 Days in September,4,305344,3165.810233
The Lost Battalion,4,305344,3165.810233
The Quiet American,4,305344,3165.810233
Brian's Song,4,305344,3165.810233
Moby Dick: The True Story,4,305344,3165.810233
The Mummy: Quest for the Lost Scrolls,4,305344,3165.810233
The Last Days of World War II,4,305344,3165.810233
Point of Origin,4,305344,3165.810233
The Trumpet of the Swan,4,305344,3165.810233
Empire,4,305344,3165.810233
Anger Management,4,305344,3165.810233
Children of Dune,4,305344,3165.810233
Sheryl Crow: C'mon America 2003,4,305344,3165.810233
The Recruit,4,305344,3165.810233
Teddy Roosevelt: An American Lion,4,305344,3165.810233
The String Cheese Incident: Waiting for the Snow to Fall,4,305344,3165.810233
NBA Now! Showmen of Today,4,305344,3165.810233
R.E.M.: Perfect Square,4,305344,3165.810233
Like Mike,4,305344,3165.810233
NBA Finals 2002: Official Championship,4,305344,3165.810233
Insomnia,4,305344,3165.810233
The First $20 Million,4,305344,3165.810233
Sol Goode,4,305344,3165.810233
Life or Something Like It,4,305344,3165.810233
Bandits,4,305344,3165.810233
Peter Gabriel: Play: The Video Collection,4,305344,3165.810233
Inspector Gadget 2,4,305344,3165.810233
The Cliburn: Playing on the Edge,4,305344,3165.810233
Vans Warped Tour 2002,4,305344,3165.810233
Dave Matthews Band: The Videos: 1994-2001,4,305344,3165.810233
Training Day,4,305344,3165.810233
In the Bedroom,4,305344,3165.810233
Eric Clapton: One More Car One More Rider,4,305344,3165.810233
Violent Cop,4,305344,3165.810233
I'm With Lucy,4,305344,3165.810233
Tape,4,305344,3165.810233
Ulysses S. Grant: Warrior / President: American Experience,4,305344,3165.810233
Johnny Cash: Live at Montreux 1994,4,305344,3165.810233
Behind Enemy Lines,4,305344,3165.810233
Wynonna: Live in Venice: Music in the High Places,4,305344,3165.810233
KISS: Live in Las Vegas,4,305344,3165.810233
Dark Blue,4,305344,3165.810233
Journey: Greatest Hits DVD 1978-1997,4,305344,3165.810233
Beethoven's 4th,4,305344,3165.810233
Anne Frank: The Whole Story,4,305344,3165.810233
SuperFire,4,305344,3165.810233
Ripley's Game,4,305344,3165.810233
Alison Krauss & Union Station: Live,4,305344,3165.810233
Maxim: The Real Swimsuit DVD: Vol. 1,4,305344,3165.810233
The Manchurian Candidate,4,305344,3165.810233
Kilimanjaro: To the Roof of Africa: IMAX,4,305344,3165.810233
The Matrix: Revolutions: Bonus Material,4,305344,3165.810233
Why the Towers Fell: Nova,4,305344,3165.810233
Allman Brothers: Live at the Beacon Theatre,4,305344,3165.810233
The Transporter,4,305344,3165.810233
2000 Years of Christianity,4,305344,3165.810233
War Photographer,4,305344,3165.810233
R.E.M.: In View: The Best of R.E.M. 1988-2003,4,305344,3165.810233
Moonlight Mile,4,305344,3165.810233
Runaway Jury,4,305344,3165.810233
Yellowstone: The World's First National Park,4,305344,3165.810233
Do You Believe in Miracles?,4,305344,3165.810233
Real Women Have Curves,4,305344,3165.810233
Equilibrium,4,305344,3165.810233
X-Men: The Legend of Wolverine,4,305344,3165.810233
Ripper: Letter from Hell,4,305344,3165.810233
Pearl Harbor,5,305344,3165.810233
Bad Boys II: Bonus Material,5,305344,3165.810233
U2: Elevation 2001: Live from Boston,5,305344,3165.810233
NBA Dynasty Series: Chicago Bulls 1990s,5,305344,3165.810233
Duran Duran: Arena,5,305344,3165.810233
Pink Floyd: Inside Pink Floyd: A Critical Review 1967-1974,5,305344,3165.810233
Uprising: Bonus Material,5,305344,3165.810233
Mona Lisa Smile,5,305344,3165.810233
Vietnam: A Television History,5,305344,3165.810233
The Hunted,5,305344,3165.810233
Rudy: The Rudy Giuliani Story,5,305344,3165.810233
VH1 Inside Out: Warren Zevon,5,305344,3165.810233
Sting: All This Time,5,305344,3165.810233
Shania Twain: Up Close and Personal,5,305344,3165.810233
The Passion of the Christ,5,305344,3165.810233
Red Dragon,5,305344,3165.810233
Led Zeppelin,5,305344,3165.810233
Concert for George,5,305344,3165.810233
Tony Bennett's Wonderful World: Live in San Francisco,5,305344,3165.810233
Alias: Season 2,5,305344,3165.810233
Fahrenheit 9/11,5,305344,3165.810233
Queen: Greatest Video Hits 1,5,305344,3165.810233
The String Cheese Incident: Evolution,5,305344,3165.810233
The Indiana Jones Trilogy: Bonus Material,5,305344,3165.810233
Collateral Damage,5,305344,3165.810233
Pirates of the Caribbean: The Curse of the Black Pearl: Bonus Material,5,305344,3165.810233
Spider-Man,5,305344,3165.810233
Black Hawk Down,5,305344,3165.810233
America: A Tribute to Heroes,5,305344,3165.810233
Man on Fire,5,305344,3165.810233
Suze Orman: The Road to Wealth,5,305344,3165.810233
Catch Me If You Can: Bonus Material,5,305344,3165.810233
ABC News Presents: NYPD 24/7,5,305344,3165.810233
Analyze That,5,305344,3165.810233
"Sting: Inside the Songs of ""Sacred Love""",5,305344,3165.810233
