company,year,sentMails,receivedMails,RelationshipQuotient
blakes.com,2000,327,40,193.5
schwab.com,2001,8,246,188.5
sempra.com,2000,114,174,187.5
email.msn.com,2001,214,106,186.5
home.com,2001,154,140,182
pge.com,2001,86,183,180.25
reliantenergy.com,2001,251,73,180.25
perfect.com,2001,169,127,179.75
cisco.com,2001,321,25,179.25
msn.com,2002,67,192,177.5
azurix.com,2000,347,3,175.75
worldnet.att.net,2001,226,83,175.25
nytimes.com,2001,6,221,168.75
velaw.com,2001,229,71,167.75
neg.pge.com,2001,148,125,167.75
sullcrom.com,2000,145,126,167
gibbs-bruns.com,2001,310,12,164
deloitte.com,2001,200,85,163.75
reliant.com,2001,116,139,162.25
ipgdirect.com,2001,2,213,160.75
robertmondavi.com,2000,138,121,159.75
eott.com,2000,275,27,157.75
houston.rr.com,2002,124,127,157.25
swbell.net,2000,249,41,155.25
aol.com,1999,278,18,152.5
pacbell.net,2001,244,40,152
mindspring.com,2000,285,12,151.5
arterhadden.com,2000,42,172,150
ps.ge.com,2001,195,70,150
isda.org,2000,90,138,148.5
wfsg.com,2000,192,68,147
industrialinfo.com,2001,1,192,144.5
jonesday.com,2000,119,112,143.5
cpuc.ca.gov,2000,156,84,141
aep.com,2001,146,90,140.5
ac.com,2000,268,6,138.5
apsc.com,2002,2,180,136
cera.com,2001,15,171,135.75
uniteddc.com,2000,266,3,135.25
williams.com,2000,120,100,135
columbiaenergygroup.com,1999,77,126,133
equiva.com,2001,248,12,133
sce.com,2001,227,25,132.25
cinergy.com,2000,191,45,129.25
cs.com,2000,216,27,128.25
quinngillespie.com,2001,242,8,127
americas.bnpparibas.com,2001,37,142,125
hotmail.com,1999,58,126,123.5
newpower.com,2001,215,21,123.25
compaq.com,2001,154,61,122.75
travelpark.com,2000,218,18,122.5
s-k-w.com,2001,119,83,121.75
iepa.com,2000,18,150,121.5
bellsouth.net,2000,42,132,120
worldnet.att.net,2000,144,63,119.25
amerexenergy.com,2001,93,97,119.25
perfect.com,2000,106,88,119
mirant.com,2001,190,31,118.25
iepa.com,2001,47,126,118
watsonwyatt.com,2001,69,110,117
dynegy.com,2000,175,37,115.25
paulhastings.com,2001,95,90,115
flash.net,2001,147,53,113.25
wharton.upenn.edu,2001,101,83,112.75
williams.com,2002,86,92,112
hoegh.no,2001,21,134,111
msn.com,2000,193,19,110.75
mcnallytemple.com,2001,16,137,110.75
ferc.fed.us,2001,116,70,110.5
wfsg.com,2001,99,81,110.25
earthlink.net,2002,36,122,109.5
houston.rr.com,2000,140,51,108.25
bmc.com,2002,65,99,106.75
brunini.com,2001,122,60,106
rice.edu,2000,97,76,105.5
pkns.com,2001,95,77,105.25
ftenergy.com,2001,35,117,105.25
utilicorp.com,2000,183,18,105
epenergy.com,2000,161,32,104.5
ae.ge.com,2000,181,16,102.5
frontier-economics.com,2001,90,76,102
stoel.com,2001,142,41,101.75
ss.ps.ge.com,2000,133,47,101.75
ae.ge.com,2001,169,22,101
bus.utexas.edu,2000,95,71,100.75
gtlaw.com,2001,91,71,98.75
agsk.com,2001,36,107,98.25
mckinsey.com,2000,114,53,96.75
calpine.com,2001,51,93,95.25
ps.ge.com,2000,137,35,94.75
baylor.edu,2000,62,84,94
whwg.com,2001,119,46,94
freshfields.com,2001,68,79,93.25
pjm.com,2000,24,108,93
cs.com,2001,148,25,92.75
netzero.net,2000,181,3,92.75
bakerbotts.com,2001,125,40,92.5
skytel.com,2000,163,14,92
baylor.edu,2001,50,88,91
citicorp.com,2001,153,19,90.75
us.andersen.com,2001,41,93,90.25
travelpark.com,2001,46,88,89
weil.com,2001,62,77,88.75
cmta.net,2001,117,40,88.5
eei.org,2001,34,95,88.25
tca-us.com,2001,118,38,87.5
dowjones.com,2001,53,81,87.25
chase.com,2000,108,44,87
skadden.com,2001,115,39,86.75
austin.rr.com,2001,137,24,86.5
pecorp.com,2001,27,97,86.25
nepco.com,2000,159,9,86.25
kilstock.com,2000,114,38,85.5
lacima.co.uk,2000,69,67,84.75
arpartners.com,2000,88,54,84.5
energyattorney.com,2001,14,103,84.25
reply.pm0.net,2001,3,107,81.75
igservice.com,2001,51,75,81.75
cleanpower.org,2001,127,24,81.5
bp.com,2001,70,62,81.5
citicorp.com,2000,158,3,81.25
mediaone.net,2000,109,35,80.75
halliburton.com,2000,143,12,80.5
nymex.com,2002,1,106,80
cfisd.net,2001,154,3,79.25
piperrudnick.com,2000,85,47,77.75
ch2m.com,2000,144,6,76.5
gs.com,2001,67,57,76.25
sullcrom.com,1999,113,25,75.25
uh.edu,2000,78,48,75
t-online.de,2001,42,72,75
gibbs-bruns.com,2000,124,16,74
stanford.edu,2000,67,54,74
bankofamerica.com,2001,74,49,73.75
aelaw.com,2000,51,63,72.75
igservice.com,2000,72,49,72.75
juno.com,2001,73,48,72.5
neg.pge.com,2000,106,26,72.5
cwt.com,2000,68,51,72.25
saltgrass.com,2002,33,74,72
quinnemanuel.com,2001,73,47,71.75
multexinvestornetwork.com,2001,1,95,71.75
nbsrealtors.com,2001,39,69,71.25
ss.ps.ge.com,2001,121,14,71
uclink4.berkeley.edu,2000,58,56,71
mail.house.gov,2001,134,5,70.75
dell.com,2001,20,81,70.75
pacificorp.com,2001,114,18,70.5
qualcomm.com,2000,78,41,69.75
czn.com,2001,70,46,69.5
akllp.com,2002,52,58,69.5
sce.com,2000,84,36,69
duke-energy.com,2002,12,84,69
dellnet.com,2000,115,15,68.75
gpc.ca,2000,65,48,68.5
avistacorp.com,2001,128,6,68.5
sullcrom.com,2001,56,54,68.5
apex2000.net,2001,47,60,68.5
corealty.com,2001,116,14,68.5
calpx.com,2000,24,75,68.25
ev1.net,2001,102,22,67.5
scientech.com,2001,3,87,66.75
susmangodfrey.com,2001,53,53,66.25
compuserve.com,2000,87,30,66
a-klaw.com,2001,73,39,65.75
texas.net,2001,63,45,65.25
home.com,2000,54,51,65.25
dow.com,2001,111,13,65.25
mba2002.hbs.edu,2001,120,7,65.25
uswest.net,2001,84,31,65.25
utilicorp.com,2001,100,20,65
msdw.com,2000,63,44,64.5
ubsw.com,2002,46,55,64.25
apex2000.net,2000,80,32,64
br-inc.com,2000,80,32,64
ercot.com,2001,51,51,63.75
basf-corp.com,2000,114,9,63.75
lacimagroup.com,2001,62,43,63.25
att.net,2000,63,42,63
risk.co.uk,2000,67,39,62.75
gbmdc.com,2000,115,6,62
nepco.com,2001,93,20,61.5
lilly.com,2000,13,72,60.5
cwt.com,2001,50,47,60.25
fairisaac.com,2000,62,38,59.5
smithandkempton.com,2000,26,62,59.5
cera.com,2000,15,69,59.25
bear.com,2001,60,39,59.25
stanford.edu,2001,67,34,59
cpuc.ca.gov,2001,46,48,59
city.palo-alto.ca.us,2001,45,48,58.5
viviance.com,2001,77,26,58
ev1.net,2000,84,21,57.75
dow.com,2000,111,3,57.75
pagenetmessage.net,2001,103,8,57.5
att.net,2001,72,28,57
aesc.com,2001,57,38,57
bigfoot.com,2000,83,20,56.5
ensr.com,2001,44,46,56.5
direcpc.com,2001,47,44,56.5
ubspainewebber.com,2001,55,38,56
tecoenergy.com,2001,77,23,55.75
erols.com,2001,95,11,55.75
sppc.com,2001,92,13,55.75
coair.com,2000,105,4,55.5
kindermorgan.com,2000,99,8,55.5
sportsline.com,2001,1,73,55.25
nicor.com,2001,79,21,55.25
lehman.com,2001,25,57,55.25
epelectric.com,2001,46,42,54.5
mckinsey.com,2001,32,51,54.25
natsource.com,2000,75,22,54
watervalley.net,2001,69,26,54
nwppc.org,2001,100,5,53.75
us.abb.com,2000,91,11,53.75
painewebber.com,2000,36,47,53.25
puget.com,2001,76,20,53
nesanet.org,2001,1,70,53
morganstanley.com,2001,37,46,53
fpl.com,2000,91,10,53
ferc.fed.us,2000,53,35,52.75
aec.ca,2001,29,51,52.75
tca-us.com,2000,39,44,52.5
dom.com,2000,75,20,52.5
vertical.net,2001,6,66,52.5
argentinc.com,2001,19,57,52.25
us.cgeyc.com,2001,97,5,52.25
ziplip.com,2001,32,48,52
kpmg.com,2001,26,52,52
gs.com,2000,70,22,51.5
us.abb.com,2001,41,41,51.25
msl.redstone.army.mil,2000,98,3,51.25
ix.netcom.com,2001,42,40,51
csfb.com,2001,43,39,50.75
dhs.state.tx.us,2000,38,42,50.5
cliverunnells.com,2001,38,42,50.5
eei.org,2000,36,43,50.25
orbitworld.net,2000,96,3,50.25
platts.com,2002,4,64,50
jpmorgan.com,2001,41,39,49.75
dynegy.com,2002,29,47,49.75
austintx.com,2001,95,3,49.75
pacifier.com,2001,89,7,49.75
i2.com,2000,14,57,49.75
crossborderenergy.com,2000,22,51,49.25
kochind.com,2000,94,3,49.25
royalbank.com,2000,68,20,49
kmg.com,2000,45,35,48.75
vnf.com,2001,81,11,48.75
hewm.com,2001,56,27,48.25
uth.tmc.edu,2001,86,7,48.25
us.pwcglobal.com,2000,60,24,48
firstunion1.com,2001,15,54,48
platts.com,2001,10,57,47.75
truequote.com,2001,35,40,47.5
sswpc.com,2000,41,36,47.5
pecorp.com,2000,86,6,47.5
wrightlaw.com,2001,57,25,47.25
coair.com,2001,30,43,47.25
dwt.com,2001,64,20,47
coral-energy.com,2000,89,3,46.75
uclink4.berkeley.edu,2001,30,42,46.5
aglresources.com,2000,25,45,46.25
fce.com,2000,61,21,46.25
apbenergy.com,2001,34,39,46.25
lovells.com,2000,44,32,46
exchange.ml.com,2000,36,37,45.75
beaconelectric.com,2001,87,3,45.75
mail.energycentral.com,2001,1,60,45.5
wharton.upenn.edu,2000,43,32,45.5
riskwaters.com,2001,29,41,45.25
austin.rr.com,2000,62,19,45.25
zdnetonebox.com,2000,62,19,45.25
idahopower.com,2001,81,6,45
andrew.cmu.edu,2000,63,18,45
cobs.edu,2001,60,20,45
chase.com,2001,58,21,44.75
exchange.ml.com,2001,38,34,44.5
db.com,2000,63,17,44.25
exxonmobil.com,2001,24,43,44.25
oracle.com,2000,43,30,44
alltel.net,2002,16,48,44
amerexenergy.com,2002,2,57,43.75
fritolay.com,2001,28,39,43.25
susmangodfrey.com,2000,56,20,43
bmc.com,2001,45,27,42.75
alltel.net,2001,54,21,42.75
ci.seattle.wa.us,2001,81,3,42.75
interx.net,2001,28,38,42.5
calchamber.com,2001,82,2,42.5
houstonenergy.org,2000,4,54,42.5
yale.edu,2000,26,39,42.25
texaco.com,2000,59,17,42.25
h-s.com,2001,65,13,42.25
katzlaw.com,2001,17,45,42.25
petersco.com,2002,68,11,42.25
georgewbush.com,2000,14,47,42.25
pdq.net,2002,12,48,42
gopusa.com,2001,45,26,42
prodigy.net,2001,21,42,42
summitenergy.com,2001,19,43,41.75
ieor.berkeley.edu,2001,38,30,41.5
dwt.com,2000,41,28,41.5
rmi.net,2001,71,8,41.5
energy.state.ca.us,2001,6,51,41.25
businesswire.com,2002,1,54,41
hess.com,2001,37,30,41
interx.net,2000,28,36,41
ieor.berkeley.edu,2000,32,33,40.75
mail.utexas.edu,2001,45,24,40.5
excite.com,2001,16,43,40.25
processrequest.com,2001,4,51,40.25
compuserve.com,2001,31,33,40.25
viviance.com,2000,67,9,40.25
pseg.com,2000,72,5,39.75
funb.com,2001,42,25,39.75
cargill.com,2001,31,32,39.5
weil.com,2000,28,34,39.5
epamail.epa.gov,2001,27,34,39
starband.net,2001,18,40,39
azurix.com,2001,76,1,38.75
eldoradocorp.com,2001,76,1,38.75
reliant.com,2002,59,12,38.5
trinity.edu,2001,68,6,38.5
anderson.ucla.edu,2001,2,50,38.5
macleoddixon.com,2000,62,10,38.5
akingump.com,2000,33,29,38.25
us.pwcglobal.com,2001,36,27,38.25
msl.redstone.army.mil,2001,75,1,38.25
osubeavers.com,2001,18,39,38.25
qwest.com,2001,30,31,38.25
kindermorgan.com,2001,22,36,38
eyeforenergy.com,2002,1,50,38
uswest.net,2000,53,15,37.75
houstontech.org,2001,23,35,37.75
bammel.org,2001,2,49,37.75
ml.com,2001,56,13,37.75
pjm.com,2001,6,46,37.5
bellsouth.net,2001,27,32,37.5
tmh.tmc.edu,2000,45,20,37.5
txu.com,2002,16,39,37.25
texas.usta.com,2000,52,15,37.25
turn.org,2000,20,36,37
capstoneenergy.com,2000,24,33,36.75
intelligencepress.com,2001,24,33,36.75
us.arthurandersen.com,2000,54,13,36.75
srpnet.com,2001,9,43,36.75
coned.com,2001,43,20,36.5
xmr3.com,2001,1,48,36.5
ftenergy.com,2000,32,27,36.25
prebon.com,2001,26,31,36.25
intel.com,2001,11,41,36.25
sempra.com,2001,31,27,35.75
aep.com,2002,38,22,35.5
fulbright.com,2000,17,36,35.5
icubed.com,2000,30,27,35.25
coral-energy.com,2001,31,26,35
mail.ev1.net,2001,28,28,35
censtrat.com,2001,43,18,35
schwabe.com,2001,34,24,35
uschamber.com,2000,25,30,35
turn.org,2001,38,21,34.75
mwe.com,2001,44,17,34.75
texas.usta.com,2001,47,15,34.75
lecg.com,2001,26,28,34
usa.conoco.com,2000,36,21,33.75
epenergy.com,2001,54,9,33.75
pgsenergy.com,2001,1,44,33.5
govadv.com,2000,19,32,33.5
aep.com,2000,46,14,33.5
perkinscoie.com,2001,53,9,33.25
onlinemailbox.net,2001,17,33,33.25
millcreeklaw.com,2001,53,9,33.25
cts.com,2000,26,27,33.25
socalgas.com,2001,29,25,33.25
poha.com,2000,35,21,33.25
exxon.sprint.com,2000,54,8,33
frontier-economics.com,2000,57,6,33
elpaso.com,2002,34,21,32.75
mariner-energy.com,2001,7,39,32.75
intelligencepress.com,2000,61,3,32.75
halliburton.com,2001,32,22,32.5
us.ibm.com,2001,45,13,32.25
sprintmail.com,2001,33,21,32.25
aeglobalmarkets.com,2001,42,15,32.25
neosoft.com,2001,18,31,32.25
pacbell.net,2000,22,28,32
manorisd.net,2000,40,16,32
esaibos.com,2000,28,24,32
ka-pow.com,2001,61,2,32
linbeck.com,2000,59,3,31.75
firstworld.net,2001,14,33,31.75
ns.net,2000,12,34,31.5
grubb-ellis.com,2001,48,10,31.5
gov.ca.gov,2001,45,12,31.5
southernco.com,2001,28,23,31.25
lockeliddell.com,2001,25,25,31.25
oxy.com,2001,34,19,31.25
wsj.com,2001,1,41,31.25
eds.com,2001,29,22,31
teleport.com,2001,53,6,31
ca.pwcglobal.com,2001,20,28,31
alcoa.com,2001,5,38,31
cox.com,2001,8,36,31
firstam.com,2001,27,23,30.75
odessapumps.com,2001,3,39,30.75
concentric.net,2000,42,13,30.75
cmsenergy.com,2001,34,18,30.5
amerexenergy.com,2000,37,16,30.5
fullenweider.com,2001,16,30,30.5
pnm.com,2001,28,22,30.5
stennis.navy.mil,2000,34,18,30.5
ktc.com,2001,1,40,30.5
entergy.com,2000,58,2,30.5
dom.com,2001,43,12,30.5
bchydro.bc.ca,2001,50,7,30.25
socalgas.com,2000,38,15,30.25
mtpower.com,2001,50,7,30.25
statoilenergy.com,2000,42,12,30
robertwalters.com,2001,18,28,30
globalp.com,2000,42,12,30
insync-palm.com,2001,1,39,29.75
truequote.com,2000,25,23,29.75
uh.edu,2001,25,23,29.75
texas.net,2000,55,3,29.75
archwireless.net,2001,46,9,29.75
keyad.com,2001,53,4,29.5
da.co.harris.tx.us,2002,11,32,29.5
allenovery.com,2000,20,26,29.5
austintx.com,2000,50,6,29.5
cliffordchance.com,1999,47,8,29.5
milbank.com,2001,29,20,29.5
bigfoot.com,2001,26,22,29.5
rbcds.com,2000,55,2,29
tonkon.com,2001,50,5,28.75
leathercenter.com,2001,20,25,28.75
csc.com,2000,53,3,28.75
cinergy.com,2001,35,15,28.75
flexitallic.com,2001,20,25,28.75
bflassociates.com,2001,23,23,28.75
qwest.net,2001,9,32,28.5
pplweb.com,2001,24,22,28.5
modrall.com,2000,45,8,28.5
vision1mm.com,2000,48,6,28.5
swbell.net,2002,22,23,28.25
wyattfirm.com,2001,52,3,28.25
ou.edu,2000,38,12,28
hollandhart.com,2000,5,34,28
academicplanet.com,2000,2,36,28
airmail.net,2000,14,28,28
fp.edu,2001,54,1,27.75
ml.com,2000,51,3,27.75
basf-corp.com,2001,51,3,27.75
luce.com,2000,18,25,27.75
wt.net,2001,31,16,27.5
lehman.com,2000,34,14,27.5
lsu.edu,2000,37,12,27.5
talkmatch.com,2001,5,33,27.25
isye.gatech.edu,2000,23,21,27.25
earthlink.net,1999,2,35,27.25
sportingbetusa.com,2001,2,35,27.25
smud.org,2001,23,21,27.25
lockeliddell.com,2000,38,11,27.25
deloitte.ca,2001,42,8,27
hesinet.com,2001,15,26,27
mrwassoc.com,2001,16,25,26.75
kochind.com,2001,40,9,26.75
prosrm.com,2001,1,35,26.75
jonesday.com,2001,4,33,26.75
mbllp.com,2001,31,15,26.75
manorisd.net,2001,14,26,26.5
verizon.net,2001,23,20,26.5
hollandhart.com,2001,8,30,26.5
pwrteam.com,2001,44,6,26.5
state.or.us,2001,50,2,26.5
saltgrass.com,2001,33,13,26.25
jmbm.com,2000,12,27,26.25
compuserve.com,1999,39,9,26.25
mexis.com,2001,37,10,26
lgeenergy.com,2000,25,18,26
review.com,2000,16,24,26
flex.net,2001,19,22,26
ormet.com,2000,23,19,25.75
ziffenergy.com,2001,8,29,25.75
uk.arthurandersen.com,2000,29,15,25.75
ci.tacoma.wa.us,2001,50,1,25.75
ghg.net,2001,50,1,25.75
management.wharton.upenn.edu,2001,8,29,25.75
snopud.com,2001,50,1,25.75
csc.com,2001,20,21,25.75
infocus.com,2000,29,15,25.75
charter.net,2001,12,26,25.5
sun.com,2001,30,14,25.5
fluor.com,2001,15,24,25.5
attglobal.net,2001,13,25,25.25
zdnetonebox.com,2001,49,1,25.25
forestweb.com,2001,8,28,25
maths.uq.edu.au,2000,17,22,25
angelflightsc.org,2001,5,30,25
westerngas.com,2001,8,28,25
spurr.org,2000,20,20,25
booth-law.com,2001,45,3,24.75
doubleclick.net,1999,24,17,24.75
pngc.com,2001,27,15,24.75
us.arthurandersen.com,2001,39,7,24.75
nbsrealtors.com,2000,27,15,24.75
swlaw.com,2001,18,21,24.75
gfinet.com,2001,12,25,24.75
entergy.com,2001,19,20,24.5
ivita.com,2000,22,18,24.5
ankarcapital.com,1999,22,18,24.5
halff.com,2000,4,30,24.5
pipeline.com,2000,40,6,24.5
keyspanenergy.com,2001,16,22,24.5
aspentech.com,2000,37,8,24.5
natfuel.com,2001,5,29,24.25
yahoo-inc.com,2000,5,29,24.25
stdauto.com,2001,38,7,24.25
houston.org,2001,17,21,24.25
ingaa.org,2000,11,25,24.25
tucsonelectric.com,2001,21,18,24
cps-satx.com,2001,18,20,24
igate.cbinet.com,2001,3,30,24
skytel.com,2002,19,19,23.75
qualcomm.com,2001,43,3,23.75
wm.com,2001,31,11,23.75
pgnmail.com,2001,44,2,23.5
conoco.com,2001,17,20,23.5
alleghenyenergy.com,2000,26,14,23.5
linklaters.com,2000,26,14,23.5
owen2002.vanderbilt.edu,2001,5,28,23.5
mindspring.com,2002,5,28,23.5
prodigy.net,2002,8,26,23.5
dplinc.com,2000,44,2,23.5
deltapower.com,2001,32,10,23.5
rpmtec.com,2000,38,6,23.5
ruf.rice.edu,2001,6,27,23.25
ci.pasadena.ca.us,2001,12,23,23.25
pira.com,2002,9,25,23.25
cps-satx.com,2000,16,20,23
teamlead.com,2000,28,12,23
redsky.com,2001,16,20,23
houston.org,2000,10,24,23
blackstone.com,2001,34,8,23
wt.net,2000,28,12,23
adv-eng-ser-inc.com,2001,38,5,22.75
foleys.com,2001,38,5,22.75
ssmb.com,2001,32,9,22.75
houston.deepwater.com,2002,20,17,22.75
tconl.com,2001,35,7,22.75
dawray.com,2001,32,9,22.75
iso-ne.com,2001,8,25,22.75
painewebber.com,2001,21,16,22.5
cmicro.com,2002,15,20,22.5
ryderscott.com,2001,18,18,22.5
frontiereconomics.com,2001,1,29,22.25
prodigy.net,2000,37,5,22.25
cera.com,2002,1,29,22.25
amunet.edu,2001,1,29,22.25
layfam.com,2001,11,22,22
bakerbotts.com,2000,29,10,22
gene.ge.com,2001,41,2,22
cadvision.com,2002,5,26,22
cgc.enbridge.com,2000,8,24,22
ogwb.com,2001,20,16,22
ucy.ac.cy,2000,8,24,22
calretailers.com,2001,41,2,22
pclient.ml.com,2000,27,11,21.75
powermerchants.com,2001,12,21,21.75
luce.com,2001,3,27,21.75
antigenics.com,2001,12,21,21.75
pulsar.com.mx,2001,15,19,21.75
bus.utexas.edu,2001,25,12,21.5
tfts.tozzini.com.br,1999,34,6,21.5
insightpartners.com,2001,25,12,21.5
cargill.com,2000,31,8,21.5
southernenergy.com,2000,34,6,21.5
natsource.com,2001,28,10,21.5
hanovermeasurement.com,2000,34,6,21.5
lmco.com,2001,19,16,21.5
tfsbrokers.com,2001,19,16,21.5
ubspw.com,2002,10,22,21.5
caem.org,2001,4,26,21.5
ogwb.com,2000,40,2,21.5
ix.netcom.com,2000,29,9,21.25
usa.conoco.com,2001,23,13,21.25
ourclub.com,2001,5,25,21.25
dialdata.com.br,2001,38,3,21.25
adamsbroadwell.com,2001,39,2,21
mother.com,2001,39,2,21
mail.sprint.com,2001,27,10,21
xemkt.com,2001,19,15,20.75
mieco.com,2001,22,13,20.75
clarkfineart.com,2000,19,15,20.75
mcleodusa.net,2001,1,27,20.75
us.ca-indosuez.com,2001,31,7,20.75
int.iwhm.com,2001,22,13,20.75
pbworld.com,2001,37,3,20.75
txuenergy.com,2000,37,3,20.75
cs.com,2002,16,17,20.75
apbenergy.com,2000,32,6,20.5
alfers-carver.com,2000,14,18,20.5
edisonmission.com,2001,32,6,20.5
sswpc.com,2001,38,2,20.5
email.moore.com,2000,8,22,20.5
unterberg.com,2000,5,24,20.5
cabotlng.com,2001,23,12,20.5
zahrsecurities.com,2001,33,5,20.25
bigfoot.com,2002,27,9,20.25
valic.com,2001,36,3,20.25
ashford.com,2001,3,25,20.25
iexalt.net,2000,18,15,20.25
americas.bnpparibas.com,2000,18,15,20.25
antigenics.com,2000,18,15,20.25
fulbright.com,2001,24,11,20.25
schwab.com,2000,4,24,20
sternstewart.com,2001,4,24,20
nwdiagnostic.com,2001,28,8,20
sec.gov,2001,28,8,20
hydrant.ruf.rice.edu,2001,5,23,19.75
clarkfineart.com,2001,26,9,19.75
socrates.berkeley.edu,2001,29,7,19.75
isda.org,1999,32,5,19.75
blakes.com,2001,11,19,19.75
manfinancial.com,2001,6,22,19.5
simmons-simmons.com,2000,18,14,19.5
erols.com,2000,30,6,19.5
swgas.com,2000,30,6,19.5
chevron.com,2000,24,10,19.5
tvapdx.com,2001,7,21,19.25
steptoe.com,2001,25,9,19.25
ci.glendale.ca.us,2001,34,3,19.25
bayer.com,2000,19,13,19.25
gc.edu,2001,34,3,19.25
lemle.com,2001,7,21,19.25
simmonsco-intl.com,2001,10,19,19.25
mcn.org,2001,16,15,19.25
gmu.edu,2001,22,11,19.25
mrwassoc.com,2000,22,11,19.25
attbi.com,2001,10,19,19.25
rc.com,2000,16,15,19.25
gablegroup.com,2000,8,20,19
oxy.com,2000,32,4,19
uclink.berkeley.edu,2000,8,20,19
lemle.com,2000,8,20,19
greenmountain.com,2000,26,8,19
ns.net,2001,2,24,19
watersinfo.com,2000,11,18,19
amgen.com,2000,11,18,19
missouri.edu,2000,8,20,19
keyspancanada.com,2001,9,19,18.75
casa-de-clarke.com,2001,27,7,18.75
management.wharton.upenn.edu,2000,15,15,18.75
prmllp.com,2001,9,19,18.75
bcm.tmc.edu,2002,21,11,18.75
mca-architects.com,2000,19,12,18.5
orbitworld.net,2001,34,2,18.5
lsu.edu,2001,19,12,18.5
aec.ca,2000,28,6,18.5
nrgenergy.com,2001,19,12,18.5
womans.com,2000,34,2,18.5
ggfcmk.com,2001,7,20,18.5
nyseg.com,2001,2,23,18.25
mail.mdanderson.org,2000,14,15,18.25
netzero.net,2001,20,11,18.25
mail.gsi-net.com,2001,23,9,18.25
dell.com,2000,14,15,18.25
petersco.com,2001,35,1,18.25
mieco.com,2000,20,11,18.25
avistaenergy.com,2001,29,5,18.25
carolina.rr.com,2001,23,9,18.25
mdck.com,2000,11,17,18.25
usa.net,2001,9,18,18
sequentenergy.com,2002,24,8,18
prebon.com,2000,33,2,18
weforum.org,2000,9,18,18
marval.com.ar,1999,18,12,18
lplpi.com,1999,27,6,18
dca.co.harris.tx.us,2000,28,5,17.75
darbylaw.com,2001,31,3,17.75
hp.com,2000,31,3,17.75
rssmb.com,2001,10,17,17.75
mfah.org,2001,7,19,17.75
morgangroup.com,2001,13,15,17.75
newsdata.com,2000,16,13,17.75
prestongates.com,2001,25,7,17.75
dracospring.com,2000,8,18,17.5
duchesne.org,2001,17,12,17.5
camh.org,2001,11,16,17.5
bpa.gov,2002,5,20,17.5
joesdesk.com,2001,14,14,17.5
cajunusa.com,2001,26,6,17.5
atmosenergy.com,2001,15,13,17.25
riskwaters.com,2000,12,15,17.25
asm.ca.gov,2001,15,13,17.25
ipgdirect.com,2000,3,21,17.25
