Company,RelationshipQuotient
quinngillespie.com,127
mail.ev1.net,126.75
robertwalters.com,126
gopusa.com,126
ou.edu,124.5
gbmdc.com,124
eds.com,124
aspentech.com,122.25
cargill.com,122
s-k-w.com,121.75
petersco.com,121
keyspanenergy.com,120
smithandkempton.com,119
fairisaac.com,119
cliverunnells.com,119
i2.com,118.5
exxon.sprint.com,118.5
pipeline.com,117.75
pgsenergy.com,116.25
isye.gatech.edu,116.25
deloitte.ca,115.5
paulhastings.com,115
lemle.com,114.75
ubspainewebber.com,112
fulbright.com,111.5
hoegh.no,111
usa.conoco.com,110
xmr3.com,109.5
cmsenergy.com,108.75
airmail.net,108.75
hess.com,107
aglresources.com,107
crossborderenergy.com,106.5
dhs.state.tx.us,106.5
brunini.com,106
uschamber.com,105
us.cgeyc.com,104.5
layfam.com,103.5
kmg.com,103
attglobal.net,102
ns.net,101
us.ibm.com,100.5
westerngas.com,100.5
pplweb.com,99.75
pacifier.com,99.5
luce.com,99
oracle.com,99
gtlaw.com,98.75
agsk.com,98.25
ingaa.org,97
ca.pwcglobal.com,96.75
sportingbetusa.com,96.75
hewm.com,96.5
bcm.tmc.edu,96
firstunion1.com,96
sempratrading.com,96
mwe.com,94.5
powermerchants.com,94.5
cps-satx.com,94
southernco.com,93.75
mdck.com,93.75
wsj.com,93.75
summitenergy.com,93.5
nrgenergy.com,93
alcoa.com,93
gsi-net.com,92.25
mrwassoc.com,92
lsu.edu,92
mail.energycentral.com,91
mtpower.com,90.75
anderson.ucla.edu,90.5
ruf.rice.edu,90
ey.com,89.25
pclient.ml.com,89.25
wessexwater.co.uk,89.25
management.wharton.upenn.edu,89
lecg.com,89
greenmountain.com,88.5
censtrat.com,88.5
houstontech.org,88
academicplanet.com,87.75
xemkt.com,86.25
calchamber.com,85
netscape.net,85
dca.co.harris.tx.us,84.75
h-s.com,84.5
energyattorney.com,84.25
lycos.com,84
antigenics.com,84
rmi.net,83
jmbm.com,83
chevron.com,82.5
energy.state.ca.us,82.5
businesswire.com,82
review.com,81.75
smud.org,81.75
esaibos.com,81.5
clarkfineart.com,81
prosrm.com,80.25
funb.com,79.5
swidlaw.com,78.75
bakernet.com,78.75
poha.com,78.5
lmco.com,78
mieco.com,78
snopud.com,77.25
tozzini.com.br,77.25
trinity.edu,77
ivita.com,77
marshmc.com,77
osubeavers.com,76.5
dawray.com,76.5
eyeforenergy.com,76
stdauto.com,75.5
da.co.harris.tx.us,75
insync.net,74
capstoneenergy.com,73.5
bayer.com,73.5
coned.com,73
usa.net,72.75
natfuel.com,72.75
yahoo-inc.com,72.75
fluor.com,72.5
weforum.org,72
igate.cbinet.com,72
redsky.com,72
rff.org,72
attbi.com,72
quinnemanuel.com,71.75
verizon.net,71.5
ci.pasadena.ca.us,71.5
oneok.com,71.25
charter.net,71
gov.ca.gov,71
cts.com,70.5
alleghenyenergy.com,70.5
marval.com.ar,70
mail.gsi-net.com,69.5
mallia.com,69
cl.uh.edu,69
dellnet.com,68.75
tconl.com,68.5
gpc.ca,68.5
iso-ne.com,68.25
edisonmission.com,68
ryderscott.com,67.5
houston.deepwater.com,67.5
kvaerner.com,67
scientech.com,66.75
nyseg.com,66.75
reuters.com,66.75
valic.com,66.75
gateway.net,66.75
tvapdx.com,66.5
millcreeklaw.com,66.5
linbeck.com,66
rbcds.com,66
a-klaw.com,65.75
nypa.gov,65.25
mba2002.hbs.edu,65.25
caem.org,64.5
nwdiagnostic.com,64.5
tfsbrokers.com,64.5
ka-pow.com,64
firstworld.net,63.5
teleport.com,62
odessapumps.com,61.5
owen2002.vanderbilt.edu,61.5
email.moore.com,61
lgeenergy.com,61
fullenweider.com,61
bchydro.bc.ca,60.5
cmicro.com,60.5
eprime.com,60
globalp.com,60
insync-palm.com,59.5
socrates.berkeley.edu,59.25
allenovery.com,59
skippingstone.com,58.5
city.palo-alto.ca.us,58.5
questar.com,58
mcn.org,57.75
bflassociates.com,57.5
tonkon.com,57.5
qwest.net,57
spurr.org,57
aesc.com,57
angelflightsc.org,57
wyattfirm.com,56.5
adamsbroadwell.com,56.5
direcpc.com,56.5
teamlead.com,55.5
fp.edu,55.5
talkmatch.com,54.5
us.ca-indosuez.com,54.5
entergykoch.com,54
hesinet.com,54
watervalley.net,54
nwppc.org,53.75
marketpointinc.com,53.5
gmu.edu,53.5
mfah.org,53.25
utmb.edu,53.25
nrdc.org,53
state.or.us,53
morganstanley.com,53
vertical.net,52.5
linklaters.com,52.5
tradefairgroup.com,52.5
ziplip.com,52
apg.amedd.army.mil,51.75
ziffenergy.com,51.5
ubspw.com,51.5
ghg.net,51.5
amgen.com,51
shearman.com,51
eogresources.com,51
huber.com,51
ls.eei.org,50.25
ucy.ac.cy,49.5
copn.com,49.5
booth-law.com,49.5
doubleclick.net,49.5
gfinet.com,49.5
pngc.com,49.5
haysmcconn.com,49.5
houstonstreet.com,49.5
royalbank.com,49
halff.com,49
unterberg.com,49
austingrp.com,48.75
vnf.com,48.75
powerpool.ab.ca,48.75
sdge.com,48.75
powersrc.com,48
mofo.com,48
webtv.net,48
conoco.com,47
rpmtec.com,47
pgnmail.com,47
eadslink.com,46.5
cfr.org,46.5
uts.cc.utexas.edu,46.5
fce.com,46.25
lovells.com,46
manfinancial.com,46
adv-eng-ser-inc.com,45.5
cyrus.andrew.cmu.edu,45
cobs.edu,45
tesoropetroleum.com,45
monm.edu,44.5
tva.gov,44.5
vcn.com,44.25
aimfunds.com,44.25
tjmhou.com,44.25
exxonmobil.com,44.25
cgc.enbridge.com,44
sequentenergy.com,44
transcanada.com,43.5
fritolay.com,43.25
southernenergy.com,43
tfts.tozzini.com.br,43
cajunusa.com,43
mdbe.com,42.75
marathonoil.com,42.75
firstcallassociates.com,42.75
ci.seattle.wa.us,42.75
houstonenergy.org,42.5
georgewbush.com,42.25
katzlaw.com,42.25
bnpparibas.com,42
oatiinc.com,42
othon.com,42
mail.sprint.com,42
cox-internet.com,42
tqcap.com,41.5
tristategt.org,41.25
mail.law.utexas.edu,41
alfers-carver.com,41
lcra.org,40.5
iexalt.net,40.5
zahrsecurities.com,40.5
kpcb.com,40
sternstewart.com,40
intergen.com,39.75
psiusa.com,39.75
epamail.epa.gov,39
aei.org,39
bellatlantic.net,39
swgas.com,39
tradespark.com,39
starband.net,39
eldoradocorp.com,38.75
macleoddixon.com,38.5
poloralphlauren.com,38.5
ci.glendale.ca.us,38.5
simmonsco-intl.com,38.5
pct-inc.com,38.25
pinnaclewest.com,38.25
qwest.com,38.25
uclink.berkeley.edu,38
palm.net,38
bus.orst.edu,38
cottonrestorationinc.com,38
bammel.org,37.75
casa-de-clarke.com,37.5
iirltd.co.uk,37.5
hbs.edu,37.5
tmh.tmc.edu,37.5
gassupplyconsulting.com,37
hines.com,37
mca-architects.com,37
avistaenergy.com,36.5
carolina.rr.com,36.5
njresources.com,36.5
mail.mdanderson.org,36.5
jsc.nasa.gov,36
newsdata.com,35.5
darbylaw.com,35.5
prestongates.com,35.5
sbcglobal.net,35.5
rssmb.com,35.5
morgangroup.com,35.5
hp.com,35.5
icubed.com,35.25
gsb.stanford.edu,35.25
stat.rice.edu,35.25
austin-mccomb.com,35
schwabe.com,35
camh.org,35
overlandpartners.com,34.5
nui.com,34
rcn.com,34
cdnam.com,34
cpchem.com,34
smtp.quote.com,33.5
nu.com,33.5
onlinemailbox.net,33.25
perkinscoie.com,33.25
southwestern.edu,33
central.uh.edu,33
painehamblen.com,33
techforall.org,33
usa.dupont.com,33
microsoft.com,32.5
napanet.net,32.5
cilco.com,32.5
stern.nyu.edu,32.5
enews.buy.com,32.5
wcnet.net,32.25
aeglobalmarkets.com,32.25
caminus.com,32
shelton.org,32
cypressasset.com,32
eweb.eugene.or.us,32
clearchannel.com,32
sablaw.com,32
phs.com,32
grubb-ellis.com,31.5
wcom.com,31.5
rweamericas.com,31
stewart.com,31
cox.com,31
,31
bayou.uh.edu,31
thecreek.coldwatercreek.com,31
firstam.com,30.75
stennis.navy.mil,30.5
austinenergy.com,30.5
samsung.co.kr,30.5
ktc.com,30.5
scudderpublishing.com,30
hitt-gc.com,30
winstead.com,30
chematch.com,30
statoilenergy.com,30
archwireless.net,29.75
keyad.com,29.5
aga.org,29.5
thestreet.com,29.5
clyde.co.uk,29.5
independent.org,29.5
swlegal.org,29
littler.com,29
flexitallic.com,28.75
leathercenter.com,28.75
vision1mm.com,28.5
anpower.com,28.5
hq.doe.gov,28.5
modrall.com,28.5
isda-eur.org,28.5
brentonbank.com,28
verner.com,28
tdcibg.com,28
scottpaul.com,28
ghc.org,28
fea.com,28
eslawfirm.com,28
economist.com,28
ci.boston.ma.us,28
transalta.com,27.75
newenergy.com,27.75
mrportland.com,27.5
swbanktx.com,27.5
grenergy.com,27.5
rcnchicago.com,27.5
natsourcetulletteurope.com,27.5
houstonisd.org,27
carmelnet.com,27
a-closer-look.com,27
columbia.edu,27
cook-inlet.com,27
peco-energy.com,27
mbllp.com,26.75
pwrteam.com,26.5
crai.com,26.5
zeusdevelopment.com,26.5
emsiweb.com,26.5
exeloncorp.com,26.5
chelanpud.org,26.5
mexis.com,26
flex.net,26
zia.stanford.edu,26
ci.tacoma.wa.us,25.75
uk.arthurandersen.com,25.75
infocus.com,25.75
ormet.com,25.75
petronas.com.my,25.5
ibjbank.co.jp,25.5
shaw.ca,25.5
iroquois.com,25.5
sun.com,25.5
maths.uq.edu.au,25
cantor.com,25
chbh.com,25
co.riverside.ca.us,25
forestweb.com,25
sdchamber.org,25
mail.bokf.com,25
garp.com,24.75
swlaw.com,24.75
radack.com,24.75
dartmouth.edu,24.5
ankarcapital.com,24.5
ckbenergy.com,24.5
periwinklefoundation.org,24.5
greylock.com,24
steelhector.com,24
kidventurecamp.com,24
constellation.com,24
rocketmail.com,24
tucsonelectric.com,24
wm.com,23.75
vanderbilt.edu,23.5
dplinc.com,23.5
ssd.com,23.5
deltapower.com,23.5
apx.com,23.5
nerc.net,23.5
dewittec.net,23.5
forrester.com,23
blackstone.com,23
lvha.com.mx,23
izio.com,23
tractebelusa.com,23
cambira.com,23
pandaenergy.com,23
tdusa.com,23
foleys.com,22.75
dteenergy.com,22.5
americancentury.com,22.5
selectenergy.com,22.5
frontiereconomics.com,22.25
amunet.edu,22.25
sabre.com,22
tribune.com,22
gene.ge.com,22
tgs.com.ar,22
prescottlegal.com,22
teai.com,22
calretailers.com,22
pulsar.com.mx,21.75
sympatico.ca,21.75
petro-canada.ca,21.5
aerotek.com,21.5
insightpartners.com,21.5
hiresynergy.com,21.5
hanovermeasurement.com,21.5
fbcc.com,21.5
visa.com,21.5
dialdata.com.br,21.25
seiworldwide.com,21
iusb.edu,21
ssfrancis.org,21
mother.com,21
bankone.com,21
ci.long-beach.ca.us,21
zoomlaw.com,21
txuenergy.com,20.75
int.iwhm.com,20.75
mcleodusa.net,20.75
pbworld.com,20.75
gpu.com,20.5
perrygas.com,20.5
cms.mail.virginia.edu,20.5
emc.com,20.5
kornferry.com,20.5
ppco.com,20.5
fuse.net,20.5
nmenergy.com,20.5
bcjlaw.com,20.5
cabotlng.com,20.5
gsb.uchicago.edu,20.25
ashford.com,20.25
caes.net,20
swpc.siemens.com,20
cleonline.com,20
sec.gov,20
tklaw.com,20
citi.com,20
et.pge.com,20
mcguirewoods.com,20
lmnarchitects.com,20
bek.com,20
hydrant.ruf.rice.edu,19.75
levi.com,19.5
concureworkplace.com,19.5
conectiv.com,19.5
dlj.com,19.5
oilstates.com,19.5
ripcity.com,19.5
simmons-simmons.com,19.5
steptoe.com,19.25
gc.edu,19.25
rc.com,19.25
edfman.com,19
gablegroup.com,19
watersinfo.com,19
uthscsa.edu,19
missouri.edu,19
vistacomp.com,19
pjc.com,19
prmllp.com,18.75
hypercon.com,18.75
keyspancanada.com,18.75
rcgroup.com,18.75
vitol.com,18.5
paconsulting.com,18.5
interwoven.com,18.5
dsmo.com,18.5
ggfcmk.com,18.5
advent.com,18.5
allegrodevelopment.com,18.5
royallepage2.com,18
bakeratlas.com,18
mit.edu,18
tvlon.com,18
kekst.com,18
firstconf.com,18
epis.com,18
mail2.padi.com,17.5
winston.com,17.5
msb.edu,17.5
joesdesk.com,17.5
hobbycomm.com,17.5
duchesne.org,17.5
dracospring.com,17.5
asm.ca.gov,17.25
cornell.edu,17.25
atmosenergy.com,17.25
dtahou.com,17
arnet.com.ar,17
mcimail.com,17
bu.edu,17
ong.com,17
hba.org,16.5
aiglincoln.com,16.5
nortelnetworks.com,16.5
kaztex.com,16.5
riskmetrics.com,16.5
edelman.com,16.5
hgp-inc.com,16
timberline.com,16
pagenetips.com,16
uwtgc.org,15.75
ev.state.az.us,15.75
marekbros.com,15.75
anadarko.com,15.75
honeywell.com,15.5
mathworks.com,15.5
pppc.org,15.5
em.fcnbd.com,15.5
bluegate.com,15.5
uole.com,15.5
mcgraw-hill.com,15.5
camerondiv.com,15.5
pennfuture.org,15.5
michaelrosenfeldglry.com,15.5
bea.com,15.5
puc.state.tx.us,15.5
pnge.psu.edu,15.5
powerbrokersllc.com,15
tulane.edu,15
tnrcc.state.tx.us,15
ucop.edu,15
pg.com,15
lawseminars.com,15
sapient.com,15
mail.earthlink.net,15
wfw.com,15
merchantenergy.com,15
iastate.edu,15
powerex.com,15
sen.ca.gov,15
alum.mit.edu,15
springisd.org,15
iconus.com,14.75
co.washington.or.us,14.75
southside-place.org,14.75
energyadvocates.com,14.75
informationforecast.com,14.75
adaytum.com,14.75
apollogrp.edu,14.75
guarantygroup.com,14.5
newman.oscar.aol.com,14.5
vailresorts.com,14.5
bankunited.com,14.5
saberpartners.com,14.5
hal-pc.org,14.5
rodgers-ramsey.com,14.5
earthlink.com,14.5
gulfsouthpl.com,14.5
chron.com,14.25
iconconsultants.com,14.25
dauphine.fr,14
midamerican.com,14
nwpp.org,14
kwi.com,14
pop.pdq.net,14
kiodex.com,14
rbcdain.com,14
mpisd.net,13.75
kis.ernet.in,13.75
macklowegallery.com,13.5
instinet.com,13.5
emrsn.com,13.5
dbsr.com,13.5
u.washington.edu,13.5
wachovia.com,13.5
evomarkets.com,13.5
us.cibc.com,13.5
pgwlaw.com,13.5
triumphboats.com,13.5
umich.edu,13.5
kingwoodcable.com,13.5
jobmenu.com,13.5
cogc.com,13.25
estutenws11.energy.williams.com,13.25
beggslane.com,13.25
finance.lsu.edu,13.25
aig.com,13
jhmedia.com,13
exult.net,13
tdsecurities.com,13
jpi.com,13
monitor.com,13
yahoogroups.com,13
denverpost.publishmail.com,13
eprod.com,13
mail.rfweston.com,13
adaptivebroadband.com,13
n2h2.com,13
swissre.com,13
mccallgroup.com,13
darkwing.uoregon.edu,13
madeleinetodd.com,13
lwsupply.com,13
la.apollolp.com,13
subutil.com,12.75
poseidon1.com,12.75
serv.net,12.75
crescentcom.com,12.75
ngfc.com,12.75
iea.org,12.75
worldaccessnet.com,12.75
weatherford.com,12.5
sde.com,12.5
sprynet.com,12.5
afcc.com,12.5
degeurinrealty.com,12.25
sierratradingpost.com,12.25
airliquide.com,12.25
ttu.edu,12.25
wellsfargo.com,12
us.amadeusmail.com,12
mailandnews.com,12
statefarm.com,12
fais.net,12
uamericas.edu.ec,12
valero.com,12
kalotay.com,12
mri.co.jp,12
pop.net,12
wapa.gov,12
weyerhaeuser.com,12
tdbank.ca,12
elitebrokers.net,12
spencerstuart.com,12
wyden.senate.gov,12
nissan-usa.com,11.75
tavana.net,11.75
nimbusprojects.com,11.75
ehirst.com,11.5
txucom.net,11.5
kinkaid.org,11.5
mba02.bus.utexas.edu,11.5
houworks.com,11.5
engr.wisc.edu,11.5
train.missouri.org,11.25
iafe.org,11.25
gumps.com,11.25
technologicp.com,11.25
swbell.com,11.25
math.utexas.edu,11.25
hammondshomes.com,11
prpa.org,11
byrdinterior.com,11
crusescott.com,11
gardere.com,11
pcez.com,11
riskcare.com,11
agfg.com,11
hou.projectconsulting.com,11
ci.portland.or.us,11
cinternet.net,11
garpmail.com,10.75
my2way.com,10.75
ecoutlook.com,10.5
astraoil.com,10.5
marriott.com,10.5
cngc.com,10.5
risklimited.com,10.5
kelleydrye.com,10.5
austinventures.com,10.5
21stenergy.com,10.5
meridien-research.com,10.5
credit2b.com,10.5
stoneage.com,10.5
hcs.state.or.us,10.5
capco.com,10.5
cvtv.net,10.5
pop.uh.edu,10.5
itiliti.com,10.5
starpower.net,10.5
gosfgiants.com,10.5
novocorp.com,10.5
amat.com,10.5
shasta.phys.uh.edu,10.5
cal.stikeman.com,10.5
richardsonandoleary.com,10.5
ci.mesa.az.us,10.25
gmacrfc.com,10
haack.com,10
oceanenergy.com,10
mazur.im.pwr.wroc.pl,10
glencore-us.com,10
mail.com,10
sci-us.com,10
gulf.ca,10
mail.lbjs.com,10
vignette.com,10
hhw-law.com,10
travisintl.com,10
hollandlessard.com,10
iasco.com,9.75
gmpvt.com,9.75
att.com,9.75
wiz.ixgate,9.75
newmn-r1.blue.aol.com,9.5
rwbeck.com,9.5
allenco.com,9.5
semprasolutions.com,9.5
techtvcorp.com,9.5
rbcinvestments.com,9.5
idacorpenergy.com,9.5
davis.ca,9.5
ezeeweb.com,9.5
sas.upenn.edu,9.5
cysive.com,9.5
midsouth.rr.com,9.5
admis.com,9.5
roseville.ca.us,9.25
hansonamerica.com,9.25
eurelectric.org,9.25
opt4.com,9.25
gas.pemex.com,9.25
knowledgeu.com,9
proliance.com,9
ncpa.com,9
idrc.org,9
gt.pge.com,9
brentbroker.com,9
sunsail.com,9
cadencemcshane.com,9
businessweek.com,9
tamu.edu,9
knowledgeinenergy.com,8.75
msspc.com,8.75
snowyhydro.com.au,8.75
ei.com,8.75
phibro.com,8.75
williamweston.co.uk,8.75
ucarb.com,8.75
energygateway.com,8.5
paperloop.com,8.5
strategos.com,8.5
nextel.com,8.5
qdweb.net,8.5
rpsionline.com,8.5
kmz.com,8.5
harvard.edu,8.5
prc.com,8.5
hydro.qc.ca,8.5
alleghenypower.com,8.5
state.gov,8.5
tejastoyota.com,8.5
winstim.com,8.5
wnt.com.pl,8.5
ngx.com,8.5
gsa.gov,8.5
barbnet.com,8.5
rsd.edu,8.5
mclarty.com,8.5
navair.navy.mil,8.5
cfbf.com,8.5
orrick.com,8.5
energyintel.com,8.5
fmc-law.com,8.5
nmenv.state.nm.us,8.5
hq3.em5.tami,8.25
hahnlaw.com,8.25
netactive.co.za,8.25
predict.com,8.25
hbk.com,8.25
ca.ibm.com,8.25
m-g.com,8.25
niagaramohawk.com,8.25
trw.com,8.25
melangeevents.com,8.25
elwoodbox.com,8.25
eng.sun.com,8
natsource.ca,8
cmua.org,8
morrownet.net,8
ecogas.com,8
intria.com,8
acex.com,8
equilon.com,8
tsu.edu,8
global2000.net,8
tanworth.mercianet.co.uk,8
hupk.com,8
tristargas.com,8
merant.com,8
exxon.com,8
infocastinc.com,8
texasbar.com,8
flashfind.com,8
mhbt.com,8
tres.bnc.ca,8
lfcompany.com,8
aigi.com,8
midcogen.com,8
gfigroup.com,8
brunswickgroup.com,7.75
altra.com,7.75
alumni.auburn.edu,7.75
allianceworldwide.com,7.75
sbsubscriber.com,7.5
utility.com,7.5
newmn-d1.blue.aol.com,7.5
go.com,7.5
telusplanet.net,7.5
starsupply.com,7.5
schiffhardin.com,7.5
saylid.com,7.5
mail.md,7.5
wolfblock.com,7.5
tindallfoster.com,7.5
compassbnk.com,7.5
cea.sfex.com,7.5
ase.org,7.5
hesco.org,7.5
fctg.com,7.5
chamberlainlaw.com,7.5
lucascareers.com,7.5
oppd.com,7.5
ms.com,7.5
mail2.southwest.com,7.5
loudcloud.com,7.5
sacbee.com,7.5
jaecklewholesale.com,7.5
algorithmics.com,7.5
interlog.com,7.25
gm.com,7.25
bcgas.com,7.25
aps.com,7.25
panalytix.com,7.25
paincarecenter.com,7.25
lpl.com,7.25
pol.net,7.25
internationalsos.com,7
appanet.org,7
eeg.com,7
unistudios.com,7
bonica.com,7
imarkets.com,7
perfectmeeting.com,7
kochgallery.com,7
emrecruiting.com,7
romcapital.com,7
pos.org,7
cnrl.com,7
compubank.com,7
choiceenergy.com,7
amherst.edu,7
efortress.com,7
sfx.com,7
aesmail.com,7
csi.com,7
purchasepooling.com,7
fhlbtopeka.com,7
iolok.com,7
usg.com,7
centurydev.com,7
gmarmol.com,7
usa.xerox.com,7
gpch.org,7
kmv.com,7
excambria.com,7
pse.com,6.75
staffingresources.com,6.75
foleylaw.com,6.75
sgh.waw.pl,6.75
vail.net,6.75
penobscot.net,6.75
diverseworks.org,6.5
endesa.es,6.5
kkrw.com,6.5
texexenergy.com,6.5
ideaus.com,6.5
ddecuir.com,6.5
everypath.com,6.5
jacobs.com,6.5
oceanicrealty.com,6.5
e-rcm.com,6.5
fsddatasvc.com,6.5
chemweek.com,6.5
rolls-royce.com,6.5
merchants-exchange.net,6.5
ajilon.com,6.5
imperialcapital.com,6.5
puc.state.pa.us,6.5
pcenergy.com,6.5
lexfurniture.com,6.5
mphlegal.com,6.5
ubs.com,6.5
mail.ru,6.5
princeton.edu,6.5
stats.ox.ac.uk,6.5
mtholyoke.edu,6.25
daniel.com,6.25
rochpar.com,6.25
mrienergy.com,6.25
iimb.ernet.in,6.25
transcarriers.com,6.25
localbloke.freeserve.co.uk,6.25
patinaoil.com,6.25
tsteel.com,6.25
spherion.com,6.25
technology4attorneys.com,6
ontariopowergeneration.com,6
mciworld.com,6
simpletel.com,6
mctv.com,6
syntexsolutions.com,6
midf.com,6
quantinleap.com,6
hoffmancorp.com,6
faretracker.expedia.customer-email.com,6
accessrelocation.com,6
math.uh.edu,6
usoncology.com,6
cchinckley.com,6
foxboro.com,6
avaya.com,6
wincrest.com,6
imcingular.com,6
welcome.ebay.com,6
hdinc.com,6
engin.umich.edu,6
osbar.org,6
kelley.com,6
kellogg.nwu.edu,6
aoshouston.org,6
ypcnm.com,6
cdp.bm,6
do.treas.gov,5.75
us.hsbc.com,5.75
fiberpipe.net,5.75
moorecap.com,5.75
state.wy.us,5.75
itc.co.harris.tx.us,5.5
adm.chtah.com,5.5
donwat.com,5.5
bizserve.com,5.5
loomisfargo.com,5.5
omanlng.co.om,5.5
smtp.democrats.org,5.5
bakerpetrolite.com,5.5
san.rr.com,5.5
tmp.com,5.5
akzo-nobel.com,5.5
synergyog.com,5.5
nc.rr.com,5.5
nike.com,5.5
